Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 02420,66.4,5,23.3
ZCTA5 02421,65.7,6.2,22.1
ZCTA5 02445,50.5,6.4,38.7
ZCTA5 02446,41.5,4.7,48.8
ZCTA5 02451,46.5,10.4,35.4
ZCTA5 02452,37,5.9,52.6
ZCTA5 02453,38.3,7.1,49.7
ZCTA5 02457,0.6,0,99.4
ZCTA5 02458,49.6,10,34.5
ZCTA5 02459,60.1,4.2,30.9
ZCTA5 02460,55.9,8.7,30
ZCTA5 02461,59.6,6.3,27.4
ZCTA5 02462,52.4,11.5,28
ZCTA5 02464,58.3,7,29.7
ZCTA5 02465,60.7,5.4,27.3
ZCTA5 02466,49.8,5.2,39.6
ZCTA5 02467,37.3,5.1,52.5
ZCTA5 02468,75.1,2.7,18.7
ZCTA5 02472,45,9.5,39.5
ZCTA5 02474,55.4,7.3,31.7
ZCTA5 02476,54.9,9.8,29.6
ZCTA5 02478,59,7.1,28.2
ZCTA5 02481,57,5.2,33.2
ZCTA5 02482,61.2,6.3,27.1
ZCTA5 02492,64.8,4.4,23.4
ZCTA5 02493,60.2,6.2,25.7
ZCTA5 02494,59.4,9.4,23.7
ZCTA5 02532,51.4,11.4,29.1
ZCTA5 02534,43.4,14.9,40.6
ZCTA5 02535,48.7,11.5,33.1
ZCTA5 02536,51.2,12.9,26.6
ZCTA5 02537,60.4,13.3,22.1
ZCTA5 02538,34.4,13.4,40.5
ZCTA5 02539,41.4,15,37.4
ZCTA5 02540,55.5,12.4,22
ZCTA5 02542,66.8,4.9,25.3
ZCTA5 02543,60.4,13.5,19
ZCTA5 02553,0,0,0
ZCTA5 02554,46.5,11.5,36.4
ZCTA5 02556,61.7,2.9,22.3
ZCTA5 02557,50.2,10.7,29.2
ZCTA5 02558,34.6,0,58.8
ZCTA5 02559,51.3,10.6,25.3
ZCTA5 02561,43.7,0,36.3
ZCTA5 02562,55.2,12.6,26.7
ZCTA5 02563,58.1,10,25.4
ZCTA5 02564,63.7,4.4,24.5
ZCTA5 02568,38.1,6.3,44.5
ZCTA5 02571,42.5,15,32.4
ZCTA5 02575,48.4,13.5,26.7
ZCTA5 02576,47.5,16.8,28.4
ZCTA5 02584,0,100,0
ZCTA5 02601,37.2,15.6,39.2
ZCTA5 02630,59.9,11.4,24.6
ZCTA5 02631,61.3,8.9,20.9
ZCTA5 02632,56.8,12,23.7
ZCTA5 02633,59.4,12.3,20.2
ZCTA5 02635,59.6,12.6,18.3
ZCTA5 02637,72.7,0,27.3
ZCTA5 02638,66.7,8.5,14.9
ZCTA5 02639,39.6,24.3,25
ZCTA5 02641,64.4,4.2,23.6
ZCTA5 02642,59.2,10.7,21.1
ZCTA5 02643,-,-,-
ZCTA5 02644,56.2,9.1,26.8
ZCTA5 02645,55.5,9.6,25.6
ZCTA5 02646,52.4,13.5,20.9
ZCTA5 02647,71.3,7.8,0
ZCTA5 02648,59.7,9.4,24
ZCTA5 02649,53.8,12.4,25.1
ZCTA5 02650,59.4,3.7,14.9
ZCTA5 02651,-,-,-
ZCTA5 02652,66.8,13.4,10.9
ZCTA5 02653,54.3,14.1,19.9
ZCTA5 02655,63.5,9.9,18.6
ZCTA5 02657,39.9,12.3,38.2
ZCTA5 02659,51.1,19.2,21.4
ZCTA5 02660,55.5,13.3,20.7
ZCTA5 02663,100,0,0
ZCTA5 02664,50.2,9,29.9
ZCTA5 02666,49.7,5,27.4
ZCTA5 02667,39.6,8.1,40.5
ZCTA5 02668,47.1,16.9,26.8
ZCTA5 02669,56.6,13.9,29.5
ZCTA5 02670,53.9,13.1,21
ZCTA5 02671,58.9,5.1,22.1
ZCTA5 02672,56.7,7,36.3
ZCTA5 02673,49.3,10.2,29.7
ZCTA5 02675,53.1,10.7,20.3
ZCTA5 02702,58.7,7.8,26.8
ZCTA5 02703,50,10.7,31.5
ZCTA5 02713,88,0,12
