Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
12487,87182,16419,45065,42950,35114,74050,100273,3.5,4.3,13.0,11.9,14.9,11.5,44.8,21.7,24.3
12489,70843,26962,21339,21875,18462,-,-,3.5,20.5,16.1,10.0,2.0,0.3,26.7,8.7,58.7
12490,N,N,-,-,-,-,-,0.0,0.0,0.0,51.9,48.1,0.0,0,51.9,48.1
12491,79486,19028,13125,-,41250,71719,65833,0.8,5.2,14.8,11.3,12.2,22.3,49.1,12.3,22.4
12492,60277,11825,-,31875,19792,58750,-,0.0,3.3,28.9,6.2,19.4,3.7,71.4,8.5,19
12493,75512,23895,-,-,-,-,-,16.4,0.0,0.0,29.9,33.3,20.3,23.3,3.6,61.7
12494,70774,16151,-,50461,31354,23958,-,0.0,2.0,25.4,2.0,36.5,20.0,39,17.3,30.1
12495,143582,43622,-,-,54100,156250,83214,0.0,4.7,12.6,28.9,20.6,28.5,84,3.1,11.1
12496,79371,16108,-,22378,31458,57656,36667,5.1,5.3,15.1,9.8,12.9,9.6,51.9,17.4,19.1
12498,103888,12519,-,27708,34838,28906,61301,1.2,1.5,17.2,5.4,29.3,27.7,56.8,13.2,22.6
12501,107986,36178,-,43490,36690,40469,64000,4.1,10.8,17.6,11.7,17.3,12.8,54,7.3,33.6
12502,92117,13246,36667,34808,-,52212,63261,2.4,8.1,15.4,9.8,11.8,14.5,58.5,8.6,26.9
12503,133360,41163,26875,39886,35000,-,-,3.5,11.4,12.7,8.7,13.5,23.3,46.5,18.3,30.4
12504,151859,39102,-,-,6250,-,81875,0.0,0.0,22.8,5.3,7.9,51.8,4.8,0.6,94.6
12507,107943,33840,-,-,73750,36563,-,5.1,10.9,24.6,3.6,28.3,18.1,24.8,8.1,57.2
12508,93026,6884,14089,24820,39010,48485,66481,3.2,6.1,20.9,10.1,20.2,12.7,42.7,10.1,37.9
12512,N,N,-,-,-,-,-,0.0,0.0,0.0,50.0,0.0,0.0,49,17.5,33.6
12513,66347,22053,-,-,50625,-,21688,0.0,12.8,27.9,6.6,5.5,24.5,54,26.3,10.1
12514,140142,21834,-,31406,29038,95134,87750,2.8,1.2,15.2,11.5,25.9,21.6,58.8,8.7,26.6
12515,93238,24245,-,24784,54643,108125,-,1.4,6.9,12.5,4.1,23.4,8.8,53.2,4.7,35.8
12516,95051,30805,21667,33622,54267,-,67000,6.2,5.8,8.3,11.2,13.6,15.4,56,11,27.1
12517,64429,24385,-,-,-,-,-,4.0,4.0,24.6,2.3,10.0,14.6,40.3,14.5,26.1
12518,105854,9787,30377,40560,42667,60670,83051,1.2,4.3,13.5,8.9,23.7,23.7,47.9,13.9,29
12520,127859,16665,-,36667,46719,73500,59250,1.2,4.8,17.5,10.1,25.5,21.9,56.5,8.8,30.2
12521,110962,27016,40625,40893,43750,93333,95568,2.3,3.1,21.2,11.3,12.8,20.3,57.8,13.8,20.6
12522,62926,6165,29759,42121,51131,60668,63879,7.2,10.5,18.8,11.5,10.4,6.7,46.1,14.1,32
12523,92775,16595,-,31204,38333,68750,70982,1.6,12.3,19.6,5.3,10.1,16.0,36.2,14.1,41
12524,94038,4788,11579,31703,41437,62652,81603,2.4,6.7,19.5,8.7,19.8,16.3,47.1,11,32.3
12525,112602,24738,17135,41324,42083,50766,36285,3.5,5.5,17.1,9.2,22.4,17.8,60.5,9.5,27.6
12526,97056,9514,24375,32394,37399,51094,67788,2.0,3.9,19.4,11.0,19.8,15.5,55.7,10.5,26
12527,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12528,85334,5756,32063,36417,42069,55862,74926,3.4,5.7,20.0,10.8,20.0,12.9,47.7,10.3,31.9
12529,99814,18545,30221,24898,43500,48564,46029,4.5,5.7,15.2,7.2,14.0,13.8,49.7,16.3,24.5
12530,36245,28472,-,-,-,-,-,0.0,44.1,0.0,0.0,21.6,34.2,41.4,0,58.6
12531,110342,14787,21818,29946,54760,93292,91563,2.7,3.5,20.7,9.5,20.5,10.3,55.6,11.4,27.9
12533,123293,7647,20156,43235,43683,67517,85156,2.1,3.3,15.8,9.1,24.2,17.8,61.7,8.6,24.5
12534,64584,4717,25417,32824,38750,49808,66625,4.5,10.3,17.5,11.4,13.0,10.0,41.2,12.2,36.1
12538,89292,7775,44964,39211,40975,54423,79760,1.8,7.5,19.8,12.6,15.6,14.7,44.6,10.2,37.3
12540,127632,10772,35357,50429,47885,71417,100278,2.2,2.3,14.7,13.9,23.4,21.0,63.4,6.6,23.9
12542,87876,7041,28333,37460,47095,61250,98646,1.9,4.7,19.5,10.6,17.9,12.8,52.2,13.7,26.4
12543,78377,9572,20556,32098,37351,47054,74464,3.5,5.1,23.1,12.5,15.4,8.6,39.8,13.3,39.2
12545,95422,7782,23833,32131,40109,54375,61792,3.1,4.8,14.1,9.5,22.7,20.2,46.3,10.9,30
12546,71079,9154,19583,27688,31691,29205,-,5.9,11.3,19.3,10.2,18.4,6.9,44.5,10.2,34.7
12547,99303,13620,26149,52844,35250,59954,59091,3.2,3.4,21.8,10.0,18.9,18.5,51.2,9.8,34.8
12548,69669,13912,-,32744,-,37250,97813,1.7,4.0,11.7,7.0,15.1,9.2,56.4,5.8,31.1
12549,100197,7211,-,37040,41913,60862,81618,2.8,4.9,18.6,10.1,18.6,13.6,54.7,7.9,29.1
12550,78551,3603,22562,32020,37465,54988,75248,6.8,9.5,18.8,8.7,13.8,9.5,43,8.9,38.8
12553,94409,4072,28060,35119,40641,71266,83395,2.8,3.7,22.9,11.0,17.5,13.5,46.9,8.8,36.8
12561,86772,5890,27692,35510,32132,49000,70321,2.1,2.8,12.1,10.6,24.2,29.3,37.2,7.4,48.8
12563,99362,7941,24375,36881,53440,52063,51397,5.3,3.0,16.8,6.8,18.9,9.7,54.4,6.2,33.3
12564,107127,12833,24412,35438,41049,52071,102799,2.6,5.4,18.4,8.3,22.2,15.1,52.1,10.1,29.7
12565,54590,15384,-,25885,30104,-,50625,6.1,7.1,18.2,14.2,15.7,10.6,38.7,17,30.2
12566,87846,8488,27841,40192,44826,62589,90536,0.6,7.3,21.5,15.6,16.1,9.5,54.8,7.6,29.4
12567,99116,16175,35750,31058,36875,35515,79948,3.0,10.6,19.5,11.4,13.2,12.1,53.4,6.2,28.4
12569,100928,15340,-,34419,47917,59375,70917,1.9,6.5,21.2,13.3,16.7,14.4,54.2,11.3,27.1
12570,125436,8669,11204,40189,52500,67548,88295,1.3,3.6,17.3,11.5,21.0,19.7,62.1,3.6,28.5
12571,97610,7954,32500,31766,36345,60138,72833,2.7,4.1,17.6,11.5,20.7,20.7,55.3,9.4,28.8
12572,115280,10592,32857,30238,37946,55071,81477,3.6,3.9,13.7,11.2,22.1,27.0,53.3,10.6,24.8
12574,159258,68478,-,-,-,-,149219,1.1,2.8,18.5,0.0,22.5,43.8,52.3,10.6,32.8
12575,130990,27053,-,50761,61563,83009,70227,0.0,0.0,22.6,11.7,29.2,14.6,60.4,11.1,26.6
12577,143256,26930,-,40938,45742,70054,82786,0.0,1.0,31.9,9.4,19.9,13.3,54.4,9.2,33.2
12578,103070,15659,31250,32500,48438,60714,94875,1.9,4.8,19.9,9.8,21.2,11.8,58.6,9.1,23.8
12580,98384,9847,40469,31392,32166,53594,103466,1.3,6.9,20.6,12.2,18.5,13.2,50.5,8.5,33.1
12581,111158,23708,-,-,46813,58958,74511,0.7,6.2,26.9,16.8,16.2,13.3,55.6,14.4,26.9
12582,126572,16806,11148,26250,32270,64375,95694,3.8,12.3,21.5,9.2,16.2,9.6,43.5,12.2,37.4
12583,95109,18210,-,36875,33056,36806,66458,1.1,9.3,21.5,11.5,15.9,20.7,45.3,8.9,38.8
12585,114783,27677,-,51607,53971,61500,84167,10.3,5.7,13.3,17.5,8.5,23.0,61.5,5.7,29.3
12586,88710,7399,26356,32363,42069,50966,69375,2.4,7.0,21.5,10.0,12.9,11.2,50.3,8.8,32.3
12589,103328,9608,36500,34853,43664,60608,55313,2.6,5.6,20.7,10.4,13.5,10.7,54.7,9.2,30.1
12590,103154,5478,32452,36077,39565,63858,78555,3.7,5.9,19.9,9.6,20.5,14.3,54.3,8.1,30
12592,88926,35244,6406,19028,-,221477,91250,13.0,5.4,18.5,9.9,12.4,7.6,47.1,0,39.9
12594,82719,12163,15847,35956,39688,48125,54875,5.0,5.4,21.8,8.6,16.6,6.9,49.7,11.2,34.3
12601,62810,2879,19795,27932,31757,50482,67432,5.4,11.2,21.8,9.3,13.6,9.5,33,9.7,48.8
12603,101576,4305,28253,33319,42903,57861,80169,2.3,5.0,19.2,11.1,19.3,20.4,50.6,7.6,33
12604,N,N,-,-,-,-,-,0.0,50.0,50.0,0.0,0.0,0.0,0.9,0,98.1
12701,58088,7350,12172,25887,33910,44625,42043,5.8,11.8,16.9,11.2,12.6,7.3,34.5,9.2,44.5
12719,92102,15952,30547,30893,22188,48750,-,3.4,14.5,14.7,5.3,22.3,9.8,50,11.1,28.8
12720,68506,16180,-,-,-,-,-,5.6,11.8,26.1,0.0,20.5,0.0,36.8,0,53
12721,84852,8374,31336,30899,42334,43967,84271,2.4,5.6,21.6,10.1,6.9,7.5,50,6.9,33.4
12722,84762,40940,-,-,-,-,-,0.0,28.6,17.1,0.0,0.0,0.0,45.2,0,40.5
12723,69025,8513,16518,42903,42450,36196,32100,3.0,2.2,18.9,11.7,18.7,16.4,46.5,9,38.2
12724,74739,27910,-,-,100686,-,-,0.0,0.0,23.3,2.4,9.8,7.0,51.1,5.5,37.4
12725,81958,25904,-,-,-,46667,-,0.0,1.6,21.1,3.1,37.5,16.4,65.2,3.6,23.9
12726,83983,16389,-,50313,45250,45893,78077,2.9,1.4,19.9,17.5,12.5,12.7,59,11.1,26.1
12729,72619,17760,-,46181,33750,45833,65208,4.3,14.6,12.0,8.7,9.1,4.1,50.4,6.7,33.6
12732,75995,34704,-,28000,28750,34792,68958,0.9,1.1,18.1,18.2,17.1,5.8,61.8,13,19
12733,38088,10341,21875,-,14492,-,-,8.8,15.0,26.9,4.4,3.6,1.6,35.5,11.7,46.1
12734,67550,13054,-,18589,55102,-,-,3.5,13.2,27.8,2.9,13.8,10.8,60.7,7.2,17.6
12736,40548,32956,-,-,-,-,-,11.3,5.7,0.0,15.1,7.5,5.7,66,11.3,0
12737,77693,8866,-,40350,44563,67321,70046,0.7,5.4,26.2,6.9,14.2,16.6,56.7,12.5,22.3
12738,67357,16231,-,10341,-,"2,500-",-,7.2,9.3,10.7,16.4,37.0,9.6,53.4,8.1,28.1
12740,81828,12545,-,41094,45050,-,58625,2.3,9.6,21.9,13.1,9.0,10.6,57.8,7,26.5
12741,63678,15214,-,62500,23125,61719,-,5.3,7.7,7.7,6.5,25.4,21.3,52.4,3.8,34.8
12742,47280,22179,-,-,-,-,-,0.0,0.0,8.3,35.0,10.0,16.7,63.3,20,16.7
12743,74195,24915,-,48750,41250,-,106563,1.4,5.5,23.6,9.9,12.3,10.6,34.6,23,23
12745,67604,35177,-,-,73553,-,-,11.0,0.0,18.9,19.7,15.0,0.0,45.6,18.4,32.7
12746,94680,15005,-,38472,54310,62202,-,2.7,2.9,27.7,13.7,9.5,8.1,57.3,5.9,36
12747,75152,11467,20329,32361,38605,-,63542,0.9,13.5,18.7,8.1,16.7,12.5,55.8,3.6,24.8
12748,90555,29531,-,47692,40093,60750,42813,5.9,2.9,19.8,13.6,16.2,12.1,51.1,7.5,31.7
12749,60089,21341,-,-,38984,-,-,0.0,6.9,22.7,28.2,15.2,0.0,32.9,18.6,32
12750,98004,28081,-,-,40893,-,-,0.0,3.1,14.1,22.0,6.3,13.6,52,0,37.1
12751,55651,12880,"2,500-",28654,37227,-,56534,2.2,9.6,13.5,14.0,11.3,8.7,48.6,4.9,42.6
12752,63353,18826,-,13977,35313,53438,76875,0.0,0.0,15.3,17.3,8.2,12.8,30.2,7.3,45.3
12754,62130,12014,38482,27813,25787,45441,68646,6.1,12.9,18.3,13.5,9.5,7.2,36.6,12.3,39.2
12758,78180,21901,18869,25153,30679,55341,64803,3.7,9.3,16.6,14.2,11.9,9.7,49.1,8.7,26
12759,49530,18285,"2,500-",26644,-,-,46303,9.2,17.2,5.6,11.3,8.9,9.6,47.5,5.2,40.9
12760,67260,18168,-,42625,43077,-,-,3.7,15.2,21.4,5.1,8.6,6.7,57.8,17.6,8.8
12762,50328,14282,-,18155,-,-,-,3.5,21.5,2.7,9.9,17.7,7.5,28.1,14,54.3
12763,69422,16622,-,27063,41016,16607,74375,0.8,4.2,23.7,16.4,6.6,5.5,57.4,2.6,32.3
12764,66861,10464,37000,33750,29659,36875,22212,5.1,7.8,19.4,8.0,20.5,12.2,47.6,12.7,32.6
12765,93929,20039,-,28510,60099,-,101071,7.9,1.2,10.5,25.0,14.1,22.6,66.6,1.9,28.2
12766,68494,24650,-,73250,-,-,-,2.8,12.8,4.0,11.6,24.0,6.4,58.2,15,12.9
12767,93715,24069,-,77917,-,-,-,0.0,4.8,28.6,9.5,17.5,20.6,40.4,3.2,41.5
12768,68761,15601,-,42969,53276,21888,-,0.0,6.8,23.4,24.3,13.9,2.1,45.8,9.2,37.1
12769,71039,21866,-,-,69688,36000,-,0.0,0.0,4.7,25.7,18.7,14.6,43.3,51.5,0
12770,69909,16057,-,42292,38047,-,-,0.0,2.2,29.3,17.7,2.6,12.9,53.8,17.8,23.8
12771,75741,7907,28050,35279,41721,52083,97727,3.5,8.6,18.6,9.7,12.8,6.4,45.7,9.8,35
12775,101712,11138,-,36125,63821,60781,65250,1.1,2.3,21.5,13.3,21.9,19.3,57.4,7.1,29
12776,87519,24779,-,45268,41912,50766,56250,2.6,3.0,10.6,11.2,14.7,21.6,48,11.7,25.2
12777,110552,22378,23125,30500,47054,59554,75250,4.9,8.1,11.9,12.9,14.5,17.9,59.3,8.6,21.3
12778,112949,36330,-,81838,-,-,-,13.3,3.1,12.7,7.1,25.3,10.2,36.9,18.9,42.6
12779,39032,6774,27847,19053,-,-,72614,9.8,26.6,19.3,11.9,2.7,7.0,31.6,20.3,30.6
12780,56638,10511,-,27446,25972,-,102702,1.3,11.2,21.9,11.5,6.4,6.3,49.3,9.8,31.1
12781,54498,29144,-,-,25667,-,-,0.0,0.0,63.1,10.7,0.0,0.0,89.3,0,10.7
12783,74440,11905,-,35764,31000,42212,92708,9.3,11.0,15.0,8.2,12.5,6.0,42,9.9,37.8
12784,N,N,-,-,-,-,-,0.0,0.0,27.8,0.0,0.0,0.0,100,0,0
12785,82638,24947,-,-,28021,-,93125,0.0,5.7,20.3,4.7,11.0,13.8,66.4,4.8,15.8
12786,71428,26881,-,-,-,72917,-,0.0,0.0,24.2,0.0,32.0,10.6,63.4,0,24.8
12787,75815,25212,-,24420,-,-,-,0.0,4.1,22.5,2.3,6.3,14.9,55.9,8.3,23.2
12788,68650,11918,44375,31944,29780,42450,46042,2.5,13.4,23.7,11.2,11.7,7.2,42.9,7.5,42.3
12789,62722,10673,17863,20789,42440,28087,64316,3.8,8.7,14.9,11.1,17.9,17.8,38.9,9.4,47
12790,77826,8012,58958,37398,34063,34830,58445,2.5,8.7,21.2,8.1,17.3,9.0,43.7,16.3,29.8
12791,75232,13626,-,42216,36389,-,60000,1.7,0.0,18.6,19.6,8.8,17.8,61.1,24.1,13.2
12792,54365,15445,-,28333,-,-,-,0.0,13.7,6.5,3.2,11.3,12.1,79.8,0,13.7
12801,62633,4150,26534,30321,34865,45742,53657,2.8,6.2,17.8,11.6,15.2,11.7,37.5,16.6,38.1
12803,69049,5249,29028,31484,38625,49232,53269,2.8,3.9,22.6,13.7,15.3,5.2,52.3,13.4,26.1
12804,89728,5647,19158,33167,37783,53367,65684,1.6,3.5,20.2,11.9,15.7,17.2,49.6,11.6,28.9
12808,84419,15683,-,43594,36607,-,63875,0.8,11.2,22.3,10.1,8.7,19.1,63.9,12.3,10.2
12809,64587,9096,21875,31723,39348,39050,57273,1.9,4.6,14.2,18.7,11.5,10.1,54.1,7.2,30.3
12810,65395,5844,15000,31759,30972,43333,-,6.8,5.7,22.1,10.2,5.7,1.8,50.3,15.8,22.4
12811,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,16.7,0.0,0,100,0
12812,70214,12036,-,35208,38750,-,28750,0.0,8.2,2.0,6.1,10.2,34.7,58.5,20.8,7.5
12814,77936,19716,29702,22250,29375,50227,60463,3.2,5.9,20.0,5.0,19.3,15.2,47.8,8,30.5
12815,72870,8072,21094,29821,50750,41389,48462,3.4,7.8,11.5,11.1,17.0,13.9,58.2,6.8,23.6
12816,62043,3973,19792,31306,25536,41016,52031,4.3,4.8,15.0,8.6,16.6,15.6,51.6,13.8,24.4
12817,70404,10872,-,22197,41213,56912,57188,2.1,5.1,9.8,9.9,18.0,20.9,60.7,10.7,19.6
12819,69207,11961,54167,23594,-,50000,42083,0.0,11.0,19.7,4.9,14.4,8.0,57.3,14,20
12821,61928,21103,-,-,6563,-,-,4.3,23.4,17.5,3.3,4.8,0.3,21.8,10.8,62.1
12822,64635,4714,27679,36207,36593,47788,45066,4.5,7.7,15.6,10.7,14.4,4.8,56,9.7,25.6
12823,56077,35523,-,34375,-,-,-,15.6,15.6,5.5,0.0,0.0,0.0,33.7,42.9,23.4
12824,94117,16491,60938,-,21949,37422,73281,1.9,5.3,19.8,7.4,24.1,11.3,56.8,13.7,25.1
12827,70272,7010,25156,41446,32371,31648,53882,3.7,6.8,15.3,12.5,11.6,7.2,60.8,8.1,22.2
12828,67822,7921,36094,31104,36755,45806,53850,3.4,6.5,20.3,11.7,10.2,6.1,45.4,12.3,30.3
12831,96014,5707,28634,33750,47584,62135,67043,1.8,3.5,16.4,12.7,21.0,15.2,59,9.7,25.4
12832,53124,3714,-,29730,30188,31786,49474,4.7,12.1,17.8,12.0,8.2,6.9,45.7,17.4,29.6
12833,91135,8644,20380,43929,35682,75472,48281,2.4,8.9,15.9,9.7,20.1,14.5,64.7,5.6,22.6
12834,90135,10306,27891,25347,36307,45724,60074,5.3,4.2,16.5,10.7,17.0,13.0,54.6,10.2,25.3
12835,66146,5604,30688,32159,36641,46563,33542,4.3,7.0,20.5,9.8,11.8,5.8,67.6,11.5,12.9
12836,69403,7436,-,26400,44107,48750,22656,1.8,7.1,21.6,9.8,13.6,13.4,59.7,11.2,20.7
12837,73706,19714,-,30761,45114,51875,-,4.2,8.7,18.0,13.8,3.7,8.5,44.1,12.7,33
12838,66340,10492,-,40435,40714,54118,58977,2.2,7.6,6.4,20.0,12.0,11.7,65.9,3.8,28.2
12839,62148,5036,14337,31207,30874,45195,58676,2.6,8.3,23.2,11.5,11.2,6.4,43.4,12.5,36.7
12841,90518,41163,-,-,35208,-,-,2.0,16.2,25.3,14.1,13.1,19.2,55.6,7.1,12.1
12842,56447,8796,-,29844,33125,-,49750,1.5,10.8,42.8,4.0,8.6,5.1,27,12.2,30.5
12843,50801,14344,-,28500,33542,-,16094,7.7,10.0,15.1,5.0,4.3,5.7,69.9,9.4,11
12844,58619,22356,-,-,-,6346,-,1.3,0.7,26.1,11.1,25.5,11.8,63.1,14,18.4
12845,87919,10224,22370,29519,36781,40530,62833,3.7,5.9,18.9,13.3,19.9,13.3,53.4,10.6,27.3
12846,66589,8226,27500,38845,29853,45245,67699,3.7,12.0,17.0,9.5,14.5,7.5,42.4,14.6,27.1
12847,71537,10279,33438,-,4306,-,-,1.1,4.9,31.6,7.9,17.3,15.4,51.5,4.2,37.9
12849,74334,20330,-,33179,-,-,-,4.6,5.3,15.8,0.0,0.0,0.0,81.3,4.7,13.9
12850,91018,11652,34722,40750,30806,65703,74063,1.1,6.3,21.2,11.7,20.9,15.1,63.8,11.7,21.2
12851,48972,10492,22188,18917,21250,-,36875,2.9,14.2,20.0,2.9,12.5,11.3,61.8,12.4,18.5
12852,56897,7337,20417,-,24375,48750,54583,5.0,6.6,23.4,6.9,10.2,12.1,45.5,9.3,21.9
12853,50301,6995,29083,26591,21250,22386,64750,9.0,7.0,13.3,6.9,8.8,9.6,57.4,9.6,23.5
12855,51447,8552,41875,32361,22321,61875,51875,3.6,13.0,26.4,7.3,7.3,2.6,62.4,3.3,22.9
12856,64072,34844,-,-,-,6625,-,0.0,0.0,23.6,0.0,61.4,4.7,20.1,20.8,54.9
12857,71922,12089,26094,34375,33333,31620,-,4.8,9.9,17.3,18.8,15.3,12.2,70.4,5.1,17.4
12858,62529,23748,-,-,-,-,-,3.9,2.6,0.0,9.2,27.6,31.6,81.6,5.3,5.3
12859,80620,11888,-,46629,40625,66078,56767,0.6,13.0,17.4,6.5,9.9,8.5,56.1,11,27.6
12860,67807,15869,-,-,23750,65361,-,0.0,4.5,13.5,14.4,20.1,4.7,39.3,3.7,42.4
12861,83697,17769,-,31719,33500,45000,58333,0.0,4.3,31.6,9.5,9.9,11.4,57.3,17.3,15.5
12862,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,100.0,0,0,100
12863,111952,20030,-,41750,51546,68000,90625,0.0,5.1,21.9,8.2,20.5,18.1,66.3,7.2,22.4
12864,24246,11815,-,-,-,-,-,0.0,0.0,56.7,33.3,10.0,0.0,23.3,0,0
12865,61132,4652,37500,30270,37955,33981,49125,3.2,5.1,18.7,10.9,15.6,12.1,54.5,11.7,25.1
12866,108372,7752,20091,32259,37787,62039,72775,1.0,4.5,14.7,9.5,27.6,23.6,48.5,10.8,33.7
12870,63462,11550,-,37292,30385,31707,69125,1.2,4.4,16.7,10.2,22.1,18.4,44.6,6.2,35.2
12871,88867,16303,27500,38438,35094,63438,55066,2.2,7.1,15.5,14.7,17.8,11.1,52.9,9.9,28.6
12872,31118,3405,-,-,-,-,-,0.0,0.0,0.0,9.7,0.0,22.6,66.7,7.1,26.2
12873,57932,7425,15833,32411,22692,20893,71875,1.7,5.1,19.8,8.5,22.7,14.0,53.9,13.5,25.6
12874,90746,24833,-,-,46094,80417,65833,0.0,0.0,5.5,9.6,29.5,35.6,76,5.5,6.8
12878,56471,5866,29375,31750,26964,-,56250,3.5,7.3,16.6,13.1,6.2,7.3,49.8,15.1,24.6
12883,60389,6101,-,31829,26563,41897,54659,3.7,4.8,22.0,17.6,12.6,9.6,45.3,8.8,34
12884,56848,10625,20833,33750,31458,32500,57500,6.9,16.2,15.2,8.9,5.9,4.0,36.7,18.5,36.7
12885,62080,8451,19063,25301,32308,48654,61293,4.6,8.3,22.6,7.2,9.1,8.2,54.8,10.5,22.5
12886,77169,27657,-,51875,-,-,-,4.7,4.7,18.0,24.0,3.3,10.0,74.2,13.5,7.7
12887,56275,4572,19896,26641,31406,40208,50568,4.1,9.8,16.6,5.5,7.4,3.0,51,9.7,30.5
12901,63235,2536,26151,28102,32166,42168,62741,4.4,8.9,18.1,9.6,13.3,14.5,38.1,10.6,43.8
12903,65388,7056,26932,37857,42692,47143,57679,3.2,4.1,18.8,15.0,21.6,20.5,54,15,18.2
12910,64853,14946,24250,37500,36087,71786,65875,7.4,11.8,16.7,7.0,4.4,5.8,50.4,8.3,33.1
12911,N,N,-,-,-,-,-,35.7,28.6,35.7,0.0,0.0,0.0,45,0,55
12912,71979,14239,31250,34777,38036,61771,62727,1.6,4.7,16.5,12.3,11.6,10.5,48.2,12.2,28.4
12913,76363,12431,-,30714,32204,49167,52692,1.7,5.3,17.3,14.0,21.2,11.7,65.9,8.3,17.7
12914,58406,11942,40104,-,31719,31528,44688,2.7,12.0,17.2,14.5,6.7,9.9,43.1,12.8,32.5
12916,82643,21927,20217,31328,31473,43750,62024,9.1,7.1,16.7,8.9,8.3,8.4,54.3,11.5,24.1
12917,61868,11192,28542,35357,40592,53750,60278,6.9,9.1,16.5,11.0,9.5,3.7,49.5,15.1,27.7
12918,71457,8424,-,22350,48092,60645,49013,1.8,6.2,11.6,14.4,22.2,7.4,61.9,6.7,19.5
12919,51199,6513,-,31165,36509,65341,62938,5.7,12.0,17.3,13.5,8.7,3.3,54.5,10.3,23.2
12920,71098,10982,31875,33233,36632,-,60000,4.2,10.5,17.3,9.8,6.0,6.8,54.3,6.5,29.5
12921,90884,12510,30944,28421,35952,73625,75469,3.4,5.9,24.2,6.6,11.7,10.8,53.1,8.6,30.5
12922,49365,20441,-,-,-,-,-,8.1,0.0,8.1,21.6,16.2,5.4,41,23.1,28.2
12923,60725,9877,-,36250,41250,36875,66042,7.8,7.8,15.0,8.5,8.2,5.9,54.3,7.5,28.1
12924,60541,21837,-,-,-,-,-,12.5,13.6,11.4,0.0,0.0,0.0,41.4,28.8,29.7
12926,58968,6117,22222,26683,33534,32031,60500,5.6,7.3,18.9,10.7,6.1,3.9,52.3,11.3,25.2
12927,53602,13130,-,36250,-,21250,87917,1.1,2.8,11.6,16.6,22.1,13.8,63,7.1,17.9
12928,64924,9020,29250,35324,22400,-,-,2.8,5.8,19.9,12.5,6.8,5.5,50.5,11,29.6
12929,52754,9025,25875,15227,21591,43977,52500,8.7,16.1,12.3,4.5,1.6,1.3,23.7,8.2,61.8
12930,56916,6352,33500,28500,28750,61429,46250,4.7,6.0,19.0,9.2,9.0,6.2,53.4,9.1,31.3
12932,62847,9698,20982,24722,30625,48269,38750,2.7,4.3,30.8,10.3,14.6,9.5,48.8,13.5,23.8
12933,N,N,-,-,-,-,-,0.0,0.0,44.4,0.0,40.7,14.8,90,0,10
12934,54120,5485,23021,29063,39773,46250,-,9.9,10.9,14.3,6.4,4.6,1.9,55.8,9.2,24.3
12935,59062,8783,35938,43077,40739,47750,-,5.8,10.8,21.7,11.2,7.1,3.3,54.7,11.5,24
12936,72689,11897,40313,41250,31250,26094,58750,4.6,1.6,14.6,7.6,19.7,27.3,58.8,6.9,20.6
12937,52452,5143,15000,26250,34545,50000,56250,2.8,6.6,26.0,8.7,8.5,6.7,45.4,9.5,39.5
12939,68028,17545,-,39615,39643,-,64583,0.0,1.4,35.6,9.6,13.0,18.5,31.7,10.6,50.9
12941,70662,6776,37188,28333,29130,43977,33250,4.6,3.7,25.9,11.9,15.1,17.5,69.3,7,16.2
12942,86648,14507,-,21875,31522,33910,51458,0.0,2.1,17.6,12.5,25.1,22.0,53.8,12.5,26.8
12943,49069,12273,-,19250,22109,26250,-,0.0,1.5,20.7,8.1,36.2,18.5,50.9,10.5,23.1
12944,64172,6948,18750,24643,31583,38929,51528,4.2,9.0,23.6,6.1,12.6,8.1,46.4,11.7,31.5
12945,66937,17792,-,-,48194,13667,45096,0.0,0.0,27.8,17.5,7.4,24.3,70.5,7.5,15.7
12946,77551,11015,20855,29250,29245,51075,48088,2.0,5.9,21.2,9.6,23.6,16.5,47.2,12.6,32
